,mean,std
Simonsiella,0.0,0.0
Treponema,0.00165947898382498,0.007258570045844408
Campylobacter,0.006076895770225734,0.028147616687880492
Helicobacter,0.0,0.0
Paracoccus,0.0,0.0
Comamonas,0.0,0.0
Pseudomonas,0.004625403403150129,0.04135961247915433
Xanthomonas,0.0,0.0
Agrobacterium,0.0014502267381774248,0.011181435858990514
Bradyrhizobium,0.0,0.0
Acinetobacter,0.0,0.0
Neisseria,0.0,0.0
Psychrobacter,0.0,0.0
Eikenella,0.0004584182193454233,0.0032932354717117316
Citrobacter,0.0009925864779917507,0.005714456020692
Enterobacter,0.000685435532202778,0.005374694798223133
Escherichia,0.011278500876928011,0.05295292789450356
Klebsiella,0.0012533972675936563,0.006229735718585392
Shigella,0.0009234978802952232,0.008809726536698276
Actinobacillus,0.0,0.0
Haemophilus,0.007450908318608737,0.03492686117784215
Pasteurella,0.0,0.0
Bacteroides,0.5245059650492322,0.24067012886737693
Butyrivibrio,0.001373005234920328,0.013001443113884516
Porphyromonas,0.003804798506811282,0.014736682895378462
Prevotella,0.04518372958465972,0.09446717229154329
Roseburia,0.018629213084183784,0.041362280840777046
Fusobacterium,0.08055501648597677,0.15142717892194094
Desulfovibrio,7.847005806784247e-05,0.0009449046258272478
Acidaminococcus,0.0,0.0
Megasphaera,0.0,0.0
Selenomonas,0.002314827850882256,0.012799994003843202
Capnocytophaga,0.0,0.0
Afipia,0.0,0.0
Peptostreptococcus,0.000984281315902994,0.005108068059910647
Ruminococcus,0.01576038832611938,0.030606696855591784
Staphylococcus,0.0,0.0
Streptococcus,0.022663053190111884,0.06382027274531793
Enterococcus,0.0047486592270262985,0.03616641723851294
Gemella,0.003154939254163252,0.018371446991608392
Atopobium,0.0,0.0
Clostridium,0.004697092272834013,0.011148130701602834
Lactobacillus,0.0017929217988774727,0.020540979873125132
Actinomyces,0.0025492187857250872,0.01341879359244936
Bifidobacterium,0.0018069330599170934,0.010530745111141365
Brevibacterium,0.0,0.0
Corynebacterium,0.0,0.0
Eubacterium,0.004275197986767407,0.009738959485595295
Propionibacterium,0.0,0.0
Mycobacterium,0.0,0.0
Mobiluncus,0.0,0.0
Gordonia,0.0,0.0
Mycoplasma,0.0,0.0
Thermosipho,0.0,0.0
Gardnerella,0.00017696004661608218,0.0021308811379950484
Cardiobacterium,0.0,0.0
Lachnospira,0.0,0.0
Sinorhizobium,0.0,0.0
Rikenella,0.0,0.0
Veillonella,0.006478023262271116,0.02808817974161903
Helcococcus,0.0,0.0
Leptotrichia,0.005372940230793875,0.017273671425922725
Rothia,0.0,0.0
Kingella,0.0,0.0
Phascolarctobacterium,0.0009990082441754856,0.004772442534219588
Coprococcus,0.001425809001248678,0.006162779735576149
Streptobacillus,0.0,0.0
Acetivibrio,0.0,0.0
Bilophila,0.0009627162802458629,0.0038008364977126104
Dietzia,0.0,0.0
Dialister,0.0011589591377480074,0.00526116763901864
Sutterella,0.006340141565536384,0.04311049459154
Tissierella,0.0,0.0
Brevundimonas,0.0,0.0
Johnsonella,0.0,0.0
Catonella,0.0009377659394786383,0.011292197253002045
Polynucleobacter,0.0,0.0
Filifactor,0.000352466346459724,0.002475797718892388
Abiotrophia,0.0,0.0
Lautropia,0.0,0.0
Mitsuokella,0.0,0.0
Chryseobacterium,0.0,0.0
Empedobacter,0.0,0.0
Bergeyella,0.0,0.0
Holdemania,8.721607545388904e-05,0.001050220621369087
Mannheimia,0.0,0.0
Actinobaculum,0.0,0.0
Delftia,0.0,0.0
Centipeda,0.0,0.0
Leclercia,0.0,0.0
Slackia,0.0,0.0
Eggerthella,8.266427499996986e-05,0.0009954096856994317
Cryptobacterium,0.0,0.0
Pedobacter,0.0,0.0
Mogibacterium,0.0,0.0
Coprobacillus,7.49006008755726e-05,0.0009019226694515806
Collinsella,0.00078343927477205,0.003401300832623886
Ensifer,0.0,0.0
Pseudoramibacter,0.0,0.0
Granulicatella,0.0005349729703818458,0.003418458208084154
Bulleidia,0.00010305333916189794,0.0012409265301783537
Solobacterium,0.0005971226944166459,0.0027120555503129364
Olsenella,0.0,0.0
Catenibacterium,6.9575435233e-05,0.000837799183718806
Anaeroglobus,0.0,0.0
Raoultella,0.0,0.0
Peptoniphilus,0.00014537954722993767,0.0017506015677912967
Anaerococcus,0.0,0.0
Sneathia,0.0,0.0
Shuttleworthia,0.0,0.0
Varibaculum,0.0,0.0
Dorea,0.003390553176891243,0.009155649281975969
Allofustis,0.0,0.0
Tannerella,7.587528977698561e-05,0.0009136594780428428
Scardovia,0.0,0.0
Parascardovia,0.0,0.0
Tepidiphilus,0.0,0.0
Anaerostipes,0.0,0.0
Morococcus,0.0,0.0
Histophilus,0.0,0.0
Faecalibacterium,0.008196188185059764,0.016042563563025452
Ottowia,0.0,0.0
Alistipes,0.02637887899983476,0.0546407931825732
Akkermansia,0.011023037629384265,0.05503844059707615
Hespellia,0.0,0.0
Anaerotruncus,0.0,0.0
Marvinbryantia,9.207350310603425e-05,0.0011087117958520365
Anaerofustis,0.0,0.0
Oribacterium,0.00038854819887877126,0.004678739885218122
Catabacter,0.0,0.0
Odoribacter,0.007528299253085146,0.01655774151497575
Subdoligranulum,9.014162180537945e-05,0.0010854488644552024
Petrimonas,0.0,0.0
Parabacteroides,0.02148285869549176,0.04138163314440459
Gulbenkiania,0.0,0.0
Barnesiella,0.004153227108303641,0.012219800881946971
Aggregatibacter,0.0030691309049779695,0.024106590976171568
Alloscardovia,0.0,0.0
Lactonifactor,0.0,0.0
Adlercreutzia,6.93632342853178e-05,0.0008352439459375812
Oscillibacter,0.001973618579020913,0.006809716770568755
Cloacibacillus,0.0,0.0
Sharpea,0.0,0.0
Parvimonas,0.0030763196060128654,0.011458982648443623
Blautia,0.007653103199784858,0.01685931229744784
Butyricimonas,0.0004421251812722349,0.002763431078886039
Paraprevotella,0.00012342446409157877,0.0014862273576954983
Parasutterella,0.0,0.0
Butyricicoccus,0.0,0.0
Robinsoniella,0.0,0.0
Pyramidobacter,0.0002456152187493767,0.0017017952165670324
Gordonibacter,0.0,0.0
Anaerosporobacter,0.0,0.0
Mycobacteroides,0.0,0.0
Necropsobacter,0.0,0.0
Phocaeicola,0.0,0.0
Christensenella,0.0,0.0
Pseudoflavonifractor,0.0,0.0
Murdochiella,0.0,0.0
Lachnoanaerobaculum,0.0005196322458583583,0.003139496408834582
Stomatobaculum,0.0,0.0
Anaerosphaera,0.0,0.0
Eggerthia,0.0,0.0
Alloprevotella,0.007672734858062287,0.03411577833224321
Lelliottia,0.0,0.0
Coprobacter,7.287656089695206e-05,0.0008775500006177645
Intestinimonas,0.0004799455103920398,0.0034801529762982946
Fusicatenibacter,0.0011817043561640139,0.005008176117782575
Eisenbergiella,0.0,0.0
Candidatus Stoquefichus,0.0,0.0
Dielma,0.0,0.0
Kallipyga,0.0,0.0
Senegalimassilia,0.0,0.0
Romboutsia,0.0,0.0
Intestinibacter,0.0,0.0
Asaccharospora,0.0,0.0
Erysipelatoclostridium,0.0,0.0
Lachnoclostridium,0.00834040794242294,0.0432097219020894
Tyzzerella,0.004248318499679691,0.017638322482934676
Faecalitalea,0.00010176545080140685,0.001225418300678573
Holdemanella,0.0012189370195727712,0.006249473545826251
Faecalicoccus,0.0,0.0
Ezakiella,0.0,0.0
Sanguibacteroides,0.0,0.0
Mageeibacillus,0.0,0.0
Hungatella,0.003614692172560003,0.023224990276300934
Fenollaria,0.0,0.0
Levyella,0.0,0.0
Faecalibaculum,0.0,0.0
Sellimonas,0.0,0.0
Lawsonella,0.0,0.0
Mycolicibacterium,0.0,0.0
Clostridioides,0.0,0.0
Ruthenibacterium,0.0,0.0
Gabonibacter,0.0,0.0
Pseudopropionibacterium,0.0,0.0
Peptoanaerobacter,0.0,0.0
Gabonia,0.0,0.0
Bariatricus,0.0,0.0
Neglecta,0.0,0.0
Emergencia,0.0,0.0
Culturomica,0.0,0.0
Mediterranea,0.0,0.0
Phocea,0.0,0.0
Prevotellamassilia,0.0015065470854218445,0.012634423021292324
Traorella,0.0,0.0
Tidjanibacter,0.0,0.0
Bittarella,0.0,0.0
Neofamilia,0.0,0.0
Angelakisella,0.0,0.0
Libanicoccus,0.0,0.0
Merdibacter,0.0,0.0
Massilioclostridium,0.0,0.0
Criibacterium,8.882993909612671e-05,0.0010696541130543688
Fournierella,0.0006309913526376568,0.007598142051186426
Lagierella,0.0,0.0
Urmitella,0.0,0.0
Colibacter,0.0,0.0
Alterileibacterium,0.0,0.0
Negativibacillus,0.00020363156515885205,0.0017298231531250234
Duodenibacillus,0.0005459548604702808,0.004242023042022031
