,mean,std
Simonsiella,0.0,0.0
Treponema,0.005441676323268921,0.02216429237461375
Campylobacter,0.016086380218131725,0.09193627209417896
Helicobacter,0.05924006049173948,0.20738009177051023
Paracoccus,0.0001363782288149378,0.0012274040593344415
Comamonas,0.0,0.0
Pseudomonas,0.016638918503503138,0.06599243678286011
Xanthomonas,0.00017803097739006586,0.0016022787965105914
Agrobacterium,0.0,0.0
Bradyrhizobium,0.00040581343612613904,0.002568759553995067
Acinetobacter,0.03989296875648589,0.15336315170482026
Neisseria,0.014399982973930544,0.04607241059106116
Psychrobacter,0.0,0.0
Eikenella,0.0008923259964306951,0.008030933967876267
Citrobacter,0.0,0.0
Enterobacter,0.0,0.0
Escherichia,0.0,0.0
Klebsiella,0.0,0.0
Shigella,0.0,0.0
Actinobacillus,0.0,0.0
Haemophilus,0.05900092699250224,0.13953965598456614
Pasteurella,0.0,0.0
Bacteroides,0.0006870239905208524,0.006183215914687678
Butyrivibrio,0.0,0.0
Porphyromonas,0.0033111548147122262,0.009914562801624652
Prevotella,0.2526445288151012,0.22822201981356152
Roseburia,0.0,0.0
Fusobacterium,0.06374804774479911,0.12880782422868356
Desulfovibrio,0.0,0.0
Acidaminococcus,0.0,0.0
Megasphaera,0.0007719933026021524,0.004399447702660112
Selenomonas,0.008528885422470264,0.024690714686585628
Capnocytophaga,0.011949761585248787,0.03353793675142635
Afipia,0.00028555196949147684,0.0018172069015810722
Peptostreptococcus,0.002925851668143994,0.007959699135114127
Ruminococcus,0.0,0.0
Staphylococcus,0.0010054159033977658,0.007726440067362259
Streptococcus,0.19529845968360146,0.23004294672717157
Enterococcus,0.0,0.0
Gemella,0.004750054478783923,0.009733083045628043
Atopobium,0.0031546379483090204,0.007528681517423449
Clostridium,0.0,0.0
Lactobacillus,0.014954399472697442,0.08953880123333299
Actinomyces,0.023208694592049755,0.04393562689980951
Bifidobacterium,0.0,0.0
Brevibacterium,0.0,0.0
Corynebacterium,0.005885207517848664,0.018562335042203705
Eubacterium,0.0,0.0
Propionibacterium,0.004181627371948803,0.02148858350731556
Mycobacterium,0.0,0.0
Mobiluncus,0.0,0.0
Gordonia,0.0021283489774837914,0.012881700205761976
Mycoplasma,0.00992817129645189,0.03582335459398755
Thermosipho,0.0,0.0
Gardnerella,0.0007921299918686634,0.005831883775752781
Cardiobacterium,0.0,0.0
Lachnospira,0.0,0.0
Sinorhizobium,0.0,0.0
Rikenella,0.0,0.0
Veillonella,0.07040781499846556,0.12950610569646062
Helcococcus,0.0,0.0
Leptotrichia,0.011144608267130663,0.043516668313427445
Rothia,0.00569399790304495,0.013439215724318821
Kingella,0.0,0.0
Phascolarctobacterium,0.0,0.0
Coprococcus,0.0,0.0
Streptobacillus,0.0,0.0
Acetivibrio,0.0,0.0
Bilophila,0.0,0.0
