,mean,std
Simonsiella,7.132175245453954e-05,0.0009461899691292703
Treponema,0.04713175023583037,0.1148713943650903
Campylobacter,0.020016258017277043,0.04450382947753224
Helicobacter,0.0,0.0
Paracoccus,0.0011442465851390971,0.015180146362207362
Comamonas,0.0,0.0
Pseudomonas,0.00242509298445729,0.018999091098528525
Xanthomonas,0.0,0.0
Agrobacterium,0.0,0.0
Bradyrhizobium,0.0,0.0
Acinetobacter,0.0,0.0
Neisseria,0.02485732485030952,0.07749088382094911
Psychrobacter,0.0,0.0
Eikenella,0.003946732917815011,0.016509024943515967
Citrobacter,0.0,0.0
Enterobacter,0.0,0.0
Escherichia,0.001169484731018285,0.013717699086349974
Klebsiella,0.0,0.0
Shigella,0.0,0.0
Actinobacillus,0.0,0.0
Haemophilus,0.037290184968119755,0.08649629590635931
Pasteurella,0.0,0.0
Bacteroides,0.0022158233196189077,0.01753537427313566
Butyrivibrio,0.0,0.0
Porphyromonas,0.023114990623149662,0.0480084089415033
Prevotella,0.2542000736925791,0.20480758771932836
Roseburia,0.00014231026483940283,0.0018879590091536265
Fusobacterium,0.1650832411049735,0.1828673326912932
Desulfovibrio,0.0,0.0
Acidaminococcus,0.0,0.0
Megasphaera,0.002373032547343586,0.01027951936150071
Selenomonas,0.007400390347978675,0.01965131872011323
Capnocytophaga,0.0433211326776566,0.08210454741310837
Afipia,0.0,0.0
Peptostreptococcus,0.005122077493673614,0.01066546167116267
Ruminococcus,0.0,0.0
Staphylococcus,0.000716469981250921,0.005116855293477966
Streptococcus,0.10126097684169785,0.1461556479639465
Enterococcus,0.0,0.0
Gemella,0.0067111493222617325,0.020354330439813995
Atopobium,0.0035995985442759614,0.010026302188710845
Clostridium,0.0,0.0
Lactobacillus,0.009422006163535902,0.06527985786892382
Actinomyces,0.024100626342690334,0.045326138911286
Bifidobacterium,0.0021211161872206966,0.01112679161395428
Brevibacterium,0.0,0.0
Corynebacterium,0.0,0.0
Eubacterium,0.0,0.0
Propionibacterium,0.0006026602382907909,0.0059564206378888524
