,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-B7-5816-01,-2.0719461,0.5390569,-1.5063983,-3.529272,-1.5089529,-0.60408306,0.7379005,-2.8397543,0.41032946,1.6912822,-0.9878859,-2.5325115,-3.497787,-4.0686984,-0.0192976,-0.36173758,-1.019758,0.033973496,-2.4515862,2.884388,-0.5401859,1.2117561,-2.1031885,0.9188664,-1.413995,0.673186,1.647178,-1.7832537,-0.5238222,-0.49977866,-4.6411424,-1.0158275,2.4068265,-1.4628111,-1.693856,-0.2276779,0.48340142,2.9443724,-1.5572975,1.0979383,1.3426405,-2.3922076,-1.2171406,1.4975718,2.4564254,-1.1766453,0.13860443,-0.512918,1.1486028,1.0194376,-1.2531296,0.30044007,-2.1218586,-0.2639375,-1.0976832,-2.8278384,-4.577696,1.5467691,-2.8935833,-3.7400374,1.3825446,1.258854,-1.391604,-1.7177494,-2.7338521,-1.5231314,1.201922,1.5658514,0.32471392,1.43086,-0.95564723,-2.2317016,0.2512278,-1.5644802,-0.53018576,2.9259822,0.37655813,-0.1861631,-0.19068073,-0.7366534,0.60633624,-2.2218497,-0.67676884,-1.823453,-0.016675297,0.41913575,-0.21266411,-0.36398354,4.128013,0.56761044,2.6104705,1.3977561,3.98997,0.19860849,2.2258735,-3.4141788,-1.9933987,-3.547408,-0.41216892,-0.94999105,1,STAD
TCGA-B7-5818-01,-1.9915681,-0.8281574,-2.835689,-3.3665278,-1.6569517,-0.08561389,1.1556513,-3.0682964,1.1013966,0.79873365,-0.6641024,-2.5556836,-5.3651485,-3.0951753,-0.5737054,-0.56194437,-2.2925067,-1.6914486,-2.812114,2.7271907,-1.8493315,-0.64010805,-3.3703237,2.0672944,-3.211605,1.9908861,1.4896761,-2.9437904,1.4036976,-1.5002756,-1.9057367,-1.6099764,2.5403488,1.1946932,0.09006654,-0.6462109,1.2373092,3.0623848,-0.73713094,0.8249092,1.4142276,-0.8196365,-1.2744426,0.7700108,3.5139856,0.027296703,0.4745209,0.046132814,1.3668394,0.23513001,-2.2882545,1.878809,-3.0172625,-0.8143623,1.1433269,-1.9083805,-5.8145375,1.2577319,-4.9713674,-4.7613072,-0.4728068,1.448322,-0.31247312,1.0452538,-0.9392607,-1.4731963,1.1619245,0.75063425,0.8308457,1.742464,-3.544348,-3.5168858,1.3238106,-3.3506155,2.091272,2.1192975,-1.1521274,0.54842883,-0.19914243,-0.55105203,2.8128939,-1.8746371,0.603445,-3.2326167,-1.174283,-1.6722592,0.23272802,-2.871182,2.9697785,0.25619456,2.259573,1.8404102,3.0968785,-1.0101404,3.7736201,-3.6941602,-3.7533267,-2.7904053,-2.1669052,-1.9457145,1,STAD
TCGA-BR-4187-01,-0.53992856,0.36931947,0.2890414,-3.1176035,-2.3185186,-2.7914722,0.71115714,-1.7985003,-1.9632659,2.242848,-1.672993,-1.4372878,-1.3890736,-3.2452743,1.2214817,-1.401878,1.8854518,2.9445941,-1.1631752,3.6545694,0.12249582,0.41561693,-1.9393249,-1.1514328,2.3989751,-0.6281786,1.537717,-0.2384654,-2.220443,0.37481079,-3.2525628,2.9251668,0.6148357,-2.4492428,-0.5560754,1.7048213,0.17708918,1.9333003,-1.2951154,1.397844,0.60163206,-0.13703874,-1.9781687,-2.0270803,0.9842547,-0.72015876,0.7514017,-1.3972132,1.0540758,1.5367172,-1.3886734,0.23092319,-0.89264965,1.359744,-0.8369183,-3.2668676,-3.407632,0.1752764,-1.5543598,-1.8736486,0.85040295,-2.2164435,-0.6490061,-2.1560683,-0.9314105,-1.7209691,1.7163974,1.6091856,1.6542345,-0.3382683,-0.4415778,-2.0097716,-0.8274094,-0.971655,-0.88610023,1.9246643,-1.8670098,-0.8045215,-1.1530061,-1.5605216,-2.0891247,0.00045822002,1.2325794,-0.07140838,1.9658175,-1.9209031,-0.43610218,1.3753989,3.1570017,2.3335109,-0.50539094,-0.19499113,1.4270654,0.17539963,-0.19665971,-2.9481828,0.802334,-3.8481512,0.55228853,1.7059295,1,STAD
TCGA-BR-4191-01,-1.4314375,1.3286253,-1.2589782,-2.2986584,-0.9838766,-0.2511319,0.6004612,-3.138125,-0.21518144,1.1495113,-0.14358711,-1.2488295,-1.574296,-1.9502316,-0.45611495,-1.6344451,-0.5265231,1.4248538,-1.739802,3.482813,-1.549781,-2.1288142,-0.110928826,-0.5763534,-0.59280425,-0.6817394,1.3501043,0.5722441,-0.73166525,-0.9712384,-1.5237336,0.08147262,2.1709485,-0.14818543,0.8713136,0.38137227,0.8055876,2.419954,0.31708592,-0.028837869,-0.69686973,-1.0626922,-1.5455512,-0.91432434,2.2103972,0.4227599,2.7479138,-0.74548477,1.0965852,-0.16109352,-0.6460417,1.6265941,-0.1854573,0.36394316,-1.2000304,-1.6461179,-3.7715352,0.8797235,-1.8218836,-1.1209679,1.0489066,-0.42749906,-0.55142236,-1.1243798,-1.6341382,-1.153546,0.72962236,0.7278998,-0.5267984,0.40976885,-0.20227972,-1.7982708,1.5286278,0.66962963,0.7739985,1.7777216,-1.9254047,-1.1229606,-0.30706713,0.36533874,-0.4953148,-1.1420518,0.037585344,-0.7498419,-0.47670853,-1.2958269,-0.32011926,-0.46432668,2.5917544,2.0814779,0.2532091,0.2107832,1.7002568,-0.67744774,0.5201272,-3.5542543,-0.45286432,-3.0834203,-1.6081471,0.3551459,1,STAD
TCGA-BR-4201-01,-0.2984097,-0.24232376,-1.7451344,-1.9586855,-1.60557,-0.2684703,0.875176,-1.4038374,0.73634756,1.5199925,-1.1142393,-2.7859967,-0.49646825,-4.261504,-1.6277103,-2.034261,1.1076676,0.94501567,-1.8349175,3.0353038,-0.777084,0.78498596,-0.39224142,0.11081692,-0.5243822,0.05563354,2.1393816,-0.13236299,-1.2748239,-0.4652572,-3.1939394,1.446416,1.3146482,-1.3464844,0.17697069,-0.4694239,-0.7351798,1.9172877,-1.1911893,1.236402,0.37587947,-1.4650633,-1.9758971,0.06293251,0.9606297,-0.5544257,0.6965228,-1.2512379,1.7045829,1.7805098,-0.55753493,1.0842878,-0.62514275,-0.95723873,-1.460732,-1.06848,-3.4595706,1.0913904,-1.528625,-1.4403732,0.27681378,-0.07212654,-0.5017043,-1.3657339,-3.2269573,-1.0616109,0.26763797,0.82204956,-0.08110388,0.5573944,0.44324085,-1.6556544,0.74604225,-0.29198357,0.20901155,1.8310564,0.15300237,1.0210057,0.5987584,0.22736378,-0.4687555,-1.617284,0.4874696,-1.2582043,1.0559082,0.27761263,-0.33781317,1.183796,3.2414227,0.50085586,0.44181877,0.73099095,3.213591,-0.66097987,0.633985,-3.6907024,-0.832045,-3.6341145,-0.8713286,-0.5510129,1,STAD
TCGA-BR-4253-01,-1.7798558,1.321633,-2.2443144,-4.8609657,-2.9341922,0.34887704,2.1465535,-3.8622653,0.09544131,0.2378043,-0.4776422,-2.54879,-3.9869213,-3.7446222,-0.29501688,-0.78092176,-1.9484173,0.5421733,-1.1674378,3.1204374,-0.8432573,-2.3033926,-2.3281348,1.6078224,-1.5864877,0.6616716,1.759986,0.35305992,1.3981539,-0.762473,-2.1920824,-1.291183,0.9929238,1.8110163,1.5070053,0.15732351,0.11083405,2.193768,0.15043336,1.9262966,0.3868947,-1.1436701,-0.9642538,-0.34955567,3.7645745,-1.0515158,3.2694604,-1.2675232,1.6976097,-0.20031336,-2.6018147,2.671149,-2.2018018,0.35760364,-0.2809616,-1.2397511,-6.706393,1.329162,-2.2643216,-3.1512067,-0.45977587,1.606957,-1.6932089,0.035741746,-3.960137,-2.1105878,1.0705543,1.7690455,0.37144104,3.079026,-3.3003426,-3.4333365,2.726051,-1.4982622,1.5390441,3.2225416,-1.8502464,-0.7144674,1.6526476,1.1113794,2.2548947,-2.0529387,0.47449994,-2.1344376,-0.38886377,-1.0658758,0.5974704,-2.0273466,4.637761,0.8563029,1.3872386,2.7624757,3.6685464,-0.2793267,3.3007274,-5.6825066,-2.5636036,-3.567239,-2.851718,-0.76788676,1,STAD
TCGA-BR-4256-01,-1.0203437,-0.2425347,-0.4916974,-3.0481389,-1.5624235,-1.234642,-0.10142191,-2.1640625,0.7717562,2.106355,-1.7432654,-2.8130155,-1.7092086,-4.9473233,-0.6763037,-1.7059383,0.79843044,1.3509258,-2.8270566,3.8478045,-0.15318546,1.6953942,-1.4873217,-0.21016575,0.075005054,-0.7137232,2.3177743,-1.6830163,-1.0145797,0.17731285,-3.6248472,1.1705393,1.3749591,-2.2881758,-0.23103683,0.20301932,-0.31865713,2.957524,-1.5891469,1.565214,0.91835827,-1.8371849,-1.3824297,0.9016439,1.74161,-1.6894462,-0.8203155,-0.7734224,2.1695883,2.631836,-1.4565783,-0.24202545,-0.9809106,-0.8474263,-0.724045,-1.4053552,-4.39109,0.36866918,-1.7759908,-2.055146,-0.14342938,-0.22932373,-1.1584395,-1.6175382,-2.7534273,-1.1530055,1.4110346,1.8260618,1.3365797,1.4288121,0.5909644,-1.4419309,-0.5677814,-1.0636334,0.3300175,1.9900138,-0.060618687,0.5886764,-1.1482332,0.1948825,-0.18489239,-1.8140136,0.7305462,-0.45338157,1.5843357,-0.60562366,-1.1700923,1.4568893,3.6089456,0.995583,1.0901723,-0.48358878,3.6626205,-0.6192114,0.7893432,-3.6271963,-1.2055846,-3.9378235,-0.24481402,0.27467212,1,STAD
TCGA-BR-4257-01,-1.6609063,1.0045654,-1.8785927,-2.6138651,-2.517493,-1.9354119,2.0625558,-3.1495185,0.11740012,2.0549777,-0.45337108,-3.537611,-3.5467598,-5.504061,-0.318846,0.62954235,-0.9719473,0.18047605,-0.36769697,4.5245137,-0.98477244,1.3477432,-2.3937407,0.046038758,-1.7918351,1.1611266,1.6109201,-0.2189531,-0.8725626,-2.3707507,-3.1484108,-0.7932,2.7399116,-0.14476088,-0.4723541,-0.74248654,0.47634813,2.3335664,-1.6123337,1.4731395,1.0766917,-2.3202345,-2.2644293,1.3850315,1.8556381,-0.55834216,0.5153848,-1.5919169,0.91006905,-0.16328803,-0.74207646,0.642024,-1.0903888,0.7812127,-0.89631295,-1.476304,-5.307397,1.024769,-2.809756,-3.661654,0.048660804,1.4307468,-1.9811232,-1.7356931,-2.9292328,-0.9418779,0.35730132,1.3129343,-0.1735147,1.7877433,-1.505069,-3.7496333,1.3179086,-2.3202276,-0.9690725,2.8749828,0.07505555,0.24820122,1.0861771,-1.4486133,1.2370261,-1.4978008,-0.040612947,-1.483572,0.078366764,-0.33521688,0.12905253,-0.682304,3.64106,1.4056941,2.3304858,2.239164,3.8729525,0.31029186,2.8012707,-4.466781,-1.3574002,-4.856374,-1.2598737,-1.2789309,1,STAD
TCGA-BR-4267-01,-1.438761,0.09464357,-2.3911877,-1.4128399,-0.979988,-0.85800946,0.13801664,-2.446892,1.672022,1.5647657,0.71036536,-3.2513828,-3.1096225,-4.0248313,-1.3227884,-0.3910193,-0.6932926,-0.1923411,-1.4446566,4.832709,-2.2414093,-0.18846332,-1.845643,-0.26517278,-3.2015905,-0.39126837,0.5528911,-0.5531021,-1.6188295,-2.2052283,-1.6489847,-1.2785012,4.045859,1.0294578,1.0426522,-0.6920577,1.1060346,2.8974538,0.6147356,-0.65586966,-0.5928398,-2.0121176,-2.3400104,1.1576031,1.5780714,1.6186998,0.91878986,-1.8490026,1.0401912,0.5785159,-0.2701053,1.9073584,0.45014068,-0.032932285,0.79031104,0.1926561,-4.379817,-0.12267867,-3.720675,-2.7115893,-0.4358374,-0.04236644,-0.933904,-0.62729365,-1.6135075,-1.174085,0.3929615,1.4666516,-1.3920066,1.2388396,-0.25186467,-3.1043448,1.8380198,-0.8834908,-0.05904109,2.3377497,-1.4577584,0.41306704,-0.62858164,-0.75221735,0.33338204,-1.7322257,-0.57190204,-1.3126559,-0.9359293,-0.5516557,-1.129928,-1.4976063,2.4277945,2.3439813,1.857841,-0.63010967,2.5665126,-1.0782272,2.4133592,-3.8128145,-0.27372319,-3.5791223,-1.4757007,-2.0284297,1,STAD
TCGA-BR-4279-01,-0.864532,0.51055586,-0.7007985,-2.804498,-2.3379636,-1.2185503,1.0003803,-1.6993612,-0.41257715,1.4627793,-0.6059903,-1.8982648,-0.9342621,-3.3989267,0.03141714,-0.9965818,1.864391,2.6023018,-1.6746529,4.3935027,-0.5261221,-0.26915783,-2.0642385,-1.505751,0.721674,-1.4790558,0.6350847,0.32891932,-2.5846968,0.17364323,-3.608042,1.178735,0.7500528,-1.5756662,-0.17461954,1.2907687,0.1957892,1.7236313,-0.48650274,0.6305444,0.3195904,-0.90182656,-1.1416558,-0.44635406,1.1051828,-0.0025733523,0.9767838,-1.9417473,1.8757205,1.6847608,-0.8594989,0.7271453,0.93529665,0.82624865,-0.7571885,-1.3805444,-3.7620099,-0.38068828,-1.6336757,-2.1860788,0.75074565,-1.4450674,-1.5770968,-2.9152822,-2.9914968,-1.966089,1.0357072,1.0006133,0.5177653,0.587742,-0.24082127,-1.3906468,0.28596655,0.6721041,-1.0219176,2.1727698,-1.8034126,-1.0481694,-0.69558513,-1.0697051,-2.0319264,-1.5379031,0.78499794,0.86313725,1.2317692,-0.48721176,-1.208787,1.0759884,2.8542056,2.3054137,0.0149027,-0.58395135,1.8806252,0.9027588,0.3017412,-3.6732244,1.2608107,-3.9454813,0.47868764,1.0798966,1,STAD
