,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-B7-5816-01,0.5504153,0.465376,0.32639953,0.5084474,0.41192698,0.48153353,0.3281402,0.54508126,0.5968382,0.38260043,0.49589646,0.8383202,0.5030425,0.39565262,0.49033427,0.44258726,0.4512043,0.43014205,0.45477533,0.63202786,0.5865047,0.55886775,0.44997394,0.7996547,0.37412447,0.5788411,0.7676897,0.6411432,0.516729,0.52945423,1,STAD
TCGA-B7-5818-01,0.8748605,0.819314,0.8041909,0.8337312,0.12956542,0.14184362,0.08187312,0.8960895,0.87039894,0.83232534,0.73402923,0.43617493,0.84655094,0.8044126,0.14182824,0.07152963,0.13936245,0.13603455,0.132806,0.17748463,0.16240877,0.86319166,0.13147402,0.89028263,0.11405569,0.8861846,0.9220722,0.87807685,0.8547869,0.85577303,1,STAD
TCGA-BR-4187-01,0.057132147,0.009219395,0.029920645,0.08454165,0.9329773,0.94580966,0.8469998,0.059623405,0.11419098,0.0,0.33578348,0.5795936,0.02284602,0.018066019,0.95688057,0.9852307,0.91563535,0.92469203,0.94635296,0.9955512,0.9619155,0.07610288,0.9196578,0.29252955,0.88735175,0.09598565,0.27142915,0.1510979,0.08390039,0.04917345,1,STAD
TCGA-BR-4191-01,0.1820783,0.13145243,0.040754683,0.17146671,0.7972223,0.85791844,0.73271966,0.08975938,0.22080027,0.09165839,0.44792998,0.5415293,0.10282967,0.12541604,0.8601309,0.88981193,0.81101733,0.78878915,0.83436286,0.93560565,0.9245604,0.19389346,0.81857467,0.42568603,0.76297164,0.21374112,0.39744607,0.3329019,0.16935873,0.1547092,1,STAD
TCGA-BR-4201-01,0.17056933,0.14503588,0.0584198,0.15853053,0.81512475,0.86007714,0.75468576,0.100147635,0.20694067,0.09570377,0.4455766,0.5643259,0.10335384,0.12085381,0.8664124,0.87895447,0.82237387,0.79599583,0.8424436,0.93266076,0.9312056,0.18268202,0.82716525,0.40694734,0.78022206,0.20261303,0.3790271,0.31298488,0.1575631,0.14577377,1,STAD
TCGA-BR-4253-01,0.79023856,0.7301233,0.70966816,0.7687634,0.18187094,0.20694023,0.121384084,0.845016,0.81953776,0.7223216,0.63482404,0.48950046,0.77208793,0.702168,0.21081495,0.14171225,0.2078548,0.18868226,0.19632858,0.2805304,0.27332217,0.7978496,0.19777322,0.9005853,0.16661519,0.82033193,0.8833705,0.8143143,0.78383344,0.78630614,1,STAD
TCGA-BR-4256-01,0.26547232,0.29434812,0.08351665,0.19655517,0.7399523,0.8096706,0.7249511,0.102205336,0.25328296,0.18140937,0.530816,0.4890855,0.1764504,0.21847865,0.81049657,0.7993485,0.7634226,0.7155211,0.7762611,0.8829345,0.8986959,0.25283027,0.7741343,0.43366912,0.71983826,0.2624608,0.40661553,0.4239899,0.1934921,0.21398616,1,STAD
TCGA-BR-4257-01,0.733451,0.6360301,0.57477385,0.6946887,0.2568053,0.29952234,0.18244201,0.7448004,0.7507476,0.6149796,0.6017648,0.6298759,0.6888677,0.6119188,0.29988027,0.24468046,0.27656847,0.28207535,0.27953863,0.38528758,0.34040195,0.7249602,0.27303827,0.8514186,0.22627497,0.7458387,0.84176517,0.7571957,0.7081057,0.7106614,1,STAD
TCGA-BR-4267-01,0.5836002,0.5766725,0.35042438,0.50784564,0.38842225,0.4727944,0.3581398,0.51041734,0.59072024,0.4425569,0.54273385,0.59523225,0.51976883,0.46672714,0.47436917,0.40191156,0.44399494,0.38742703,0.4335721,0.6030316,0.6121456,0.5772554,0.44486892,0.776507,0.37524086,0.58666915,0.6982846,0.69010067,0.5078022,0.54846257,1,STAD
TCGA-BR-4279-01,0.037850432,0.046705678,0.04606401,0.057824776,0.9438441,0.95281714,0.8803045,0.045214236,0.0901909,0.016153298,0.31118178,0.48501348,0.012298644,0.024873063,0.96547395,0.96560895,0.93795776,0.9141154,0.9538851,0.99842024,1.0,0.06176448,0.93790275,0.2671282,0.913466,0.08097916,0.23298743,0.14624143,0.056651466,0.034205105,1,STAD
