,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-B7-5816-01,0.8795371,0.9579282,0.161831,-1.9165345,-1.0258596,-0.28336748,3.4680476,-0.06558011,-0.73186594,0.8715682,0.75020486,-1.9926561,2.3985596,-3.667311,1.5087866,0.72404706,-1.08633,0.6635029,-1.0282993,-0.63549984,-1.6968936,0.8700571,1.0345409,-0.51210755,3.168813,-3.1898825,-0.29946667,1.7244596,-0.624563,1.7497092,1,STAD
TCGA-B7-5818-01,0.8913853,1.2581202,0.74605614,-2.8582008,-1.09482,-0.73122454,4.2811747,-0.34216544,-1.5829504,0.49727473,1.1468229,-3.0152993,3.6059277,-4.2460246,2.7304552,-0.40038475,-0.7533936,0.8105474,-1.5007741,-0.9451695,-1.4253329,-0.124046534,0.37759125,-1.1453193,4.155481,-4.6304865,-0.08770147,1.3882303,-0.18495236,2.7145808,1,STAD
TCGA-BR-4187-01,0.36114585,0.60884964,-0.24074063,-0.28549492,-0.24427983,0.09159334,1.6566914,0.26163095,-0.77866596,0.68286467,0.25788614,-0.89448583,1.0361431,-2.38345,-0.031526066,1.0606774,-0.7743552,0.071266755,-0.32494727,0.73528695,-1.058045,1.07786,0.7879061,0.6934065,1.2734451,-1.6868912,-0.45400983,0.78062546,-0.40131345,0.9303899,1,STAD
TCGA-BR-4191-01,0.5199198,0.81300396,-0.121476844,-1.1014514,-0.7059098,-0.2720575,2.2033117,-0.12515303,-0.26906705,0.546854,0.31358346,-1.4354035,1.5816805,-2.380967,0.93491215,0.56083286,-0.4247816,0.4861002,-0.6266211,-0.13796534,-0.9723271,0.8469741,0.7217238,0.045446314,1.7543951,-2.0198698,-0.17895404,1.097932,-0.30987883,1.1253816,1,STAD
TCGA-BR-4201-01,0.5043186,0.86021715,0.2921322,-1.2012132,-0.7469279,-0.15058482,2.0215006,-0.16276905,0.14680183,0.7702161,0.49208182,-1.0611922,0.9607341,-2.5545068,0.19654635,0.9488714,-0.9136343,0.7296358,-0.8176435,-0.25491393,-1.3706497,1.3295296,1.177728,0.032584097,2.175453,-1.775209,-0.16890785,1.3615965,-1.4580952,0.93594164,1,STAD
TCGA-BR-4253-01,0.97558105,1.0424966,0.4763251,-2.6080418,-1.1655469,-0.52754015,4.0889335,-0.2323344,-1.1616542,0.69739527,1.0309492,-2.5635324,3.1590183,-3.9936907,2.4146433,0.0783329,-0.9901409,0.78215605,-1.3146724,-1.0988008,-1.6440866,0.2280884,0.66519016,-1.1315378,3.8807898,-4.0160766,-0.14713484,1.6876523,-0.33624,2.2758505,1,STAD
TCGA-BR-4256-01,0.57680345,0.94029975,0.32224745,-1.1631109,-0.72099555,-0.027869519,2.30846,-0.0010804981,-0.11192437,0.9905256,0.5825486,-1.1117204,1.0374849,-3.1503603,-0.07805652,1.3233688,-1.2787448,0.68158895,-0.87270874,-0.007458344,-1.7082536,1.6290628,1.4597626,0.23421445,2.5083752,-2.096467,-0.3560376,1.5367532,-1.7240998,1.0987611,1,STAD
TCGA-BR-4257-01,1.0045909,0.94547284,-0.054944947,-2.1336355,-1.1056527,-0.39768782,3.995437,-0.041218944,-1.1813052,0.7727342,0.75834996,-2.4554574,3.1438835,-3.8703449,2.3289406,0.40917835,-0.8877312,0.54179037,-1.0108817,-0.7723407,-1.5866581,0.4360788,0.7324466,-0.7498868,3.2874205,-3.7282648,-0.31382883,1.704862,0.19663827,2.0833817,1,STAD
TCGA-BR-4267-01,0.83100754,0.9493456,-0.121110484,-1.7480959,-0.9799962,-0.37211588,3.375492,-0.079497226,-0.81508034,0.6964163,0.55903375,-2.1429389,2.61639,-3.3730676,1.8274384,0.49113652,-0.6718207,0.5333538,-0.87258995,-0.4968925,-1.3510264,0.6504175,0.7660986,-0.38798994,2.7014425,-3.1338081,-0.2796194,1.5017743,0.036176555,1.752632,1,STAD
TCGA-BR-4279-01,0.3906215,0.6255739,0.061972216,-0.53620386,-0.34769624,0.10546608,1.6646827,0.17194948,-0.4930972,0.78014904,0.41721135,-0.75048137,0.7818658,-2.4633753,-0.23437959,1.1492028,-1.0383623,0.2816221,-0.49959433,0.4351169,-1.2903935,1.2299899,0.9942721,0.46579775,1.6667936,-1.6197891,-0.38012666,0.98704755,-1.0480026,0.86217076,1,STAD
