,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-B7-5816-01,0.84669733,0.50210667,0.617191,0.4059943,0.16790819,0.62275594,0.68071884,0.49231416,0.6029249,0.82769334,0.6566402,0.5553101,0.46373722,0.25464696,0.44269493,0.73725116,0.14914083,0.7288135,0.41365564,0.22024429,0.110495746,0.6747471,0.73288053,0.3232783,0.6582551,0.48463607,0.37356716,0.9407342,0.30567598,0.45008618,1,STAD
TCGA-B7-5818-01,0.861222,0.80744886,0.8832321,0.10068506,0.09809172,0.22664732,0.90614086,0.13097101,0.22175694,0.4815315,0.90443647,0.20983517,0.7874856,0.10121524,0.7529502,0.25130415,0.32239547,0.85732985,0.12982237,0.07303333,0.2495107,0.24874896,0.34922123,0.04932794,0.8863758,0.15398788,0.7272743,0.72010523,0.42788962,0.81856865,1,STAD
TCGA-BR-4187-01,0.21120512,0.1470392,0.43387023,0.93481386,0.9591903,0.9543913,0.17855921,0.919797,0.58196497,0.6531727,0.34905273,0.9263,0.09841356,0.5950311,0.05151673,0.8827331,0.3114874,0.21120156,0.83618546,0.8718897,0.43752956,0.76379585,0.58884555,0.8448273,0.22004023,0.8296034,0.11543679,0.32140338,0.3677403,0.13718976,1,STAD
TCGA-BR-4191-01,0.40584502,0.35469607,0.4881799,0.6702625,0.4918298,0.6327591,0.33009797,0.4144855,0.81019473,0.52738446,0.3838509,0.74356425,0.24469611,0.5956894,0.29695362,0.66671467,0.49339974,0.5737643,0.6549587,0.45676255,0.48140955,0.6648555,0.550195,0.5644963,0.33123735,0.75317794,0.574857,0.5296155,0.3931595,0.2116567,1,STAD
TCGA-BR-4201-01,0.3867196,0.4027193,0.67652684,0.6379175,0.45030248,0.740196,0.27969474,0.3653423,0.9964464,0.7339588,0.49537188,0.86998236,0.07819313,0.5496796,0.10943806,0.83441377,0.23900884,0.7866134,0.5402044,0.40116745,0.27750367,0.8716426,0.816502,0.5589316,0.4285872,0.8093326,0.5916369,0.7026285,0.07395041,0.13930996,1,STAD
TCGA-BR-4253-01,0.964437,0.58812594,0.7604036,0.1817922,0.026486874,0.40679663,0.8528461,0.27445906,0.41043925,0.66661114,0.8320417,0.36245358,0.6676496,0.16811538,0.67274654,0.4581921,0.1991961,0.8325159,0.24162066,0.0,0.13752824,0.39964753,0.5171793,0.05529034,0.8228663,0.2950076,0.62800395,0.9165818,0.385831,0.65101844,1,STAD
TCGA-BR-4256-01,0.47557828,0.48417583,0.69024056,0.6502712,0.47655678,0.848732,0.35924804,0.5765793,0.88057286,0.93771,0.55189306,0.8529126,0.09877336,0.39170367,0.039699845,0.9962607,0.04901135,0.7446207,0.50712466,0.51880306,0.10468042,0.99999994,0.9812104,0.6461642,0.50555986,0.7355973,0.2790779,0.81756383,0.0,0.20149039,1,STAD
TCGA-BR-4257-01,0.9999999,0.48943767,0.5184768,0.33560532,0.087124586,0.52164495,0.8269262,0.52414066,0.4016384,0.73628765,0.66172904,0.398964,0.66359127,0.20081747,0.6509814,0.601174,0.2524884,0.6224373,0.42411906,0.15519279,0.1669265,0.48877662,0.55645716,0.22040638,0.6856775,0.36106628,0.34957832,0.9278745,0.53397346,0.577515,1,STAD
TCGA-BR-4267-01,0.78720534,0.49337688,0.48834673,0.46060592,0.21434093,0.5442622,0.6550598,0.47413224,0.56565636,0.66570574,0.53720164,0.50454074,0.5221472,0.33265835,0.5236198,0.63659394,0.36484465,0.6150638,0.50719607,0.28613552,0.28754908,0.58062613,0.57610995,0.37697607,0.5501976,0.49750626,0.40671766,0.7946112,0.48936442,0.4512024,1,STAD
TCGA-BR-4279-01,0.24733913,0.16405037,0.57171786,0.85352844,0.8544901,0.9666611,0.18077463,0.80263317,0.7098602,0.74314517,0.4485948,0.9749484,0.030230656,0.57384086,0.0,0.9209912,0.17410249,0.3950513,0.7312684,0.7291947,0.31858778,0.8289873,0.7093635,0.74635553,0.3109836,0.8450047,0.23884243,0.4568547,0.18795791,0.11113702,1,STAD
