patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-CR-6487-01,-0.5580682,0.07154986,0.3640914,-0.27829015,0.7768387,0.55105954,-1.0547938,-0.5766674,0.42314354,0.4153225,-0.7533758,0.76264036,0.19371432,-0.38882077,0.7666801,-0.019865885,-1.1172805,-0.33902586,-0.0055822544,0.7581369,-0.8569116,-0.22287062,-0.36884195,0.059509795,-0.06903006,0.95783997,-0.53234863,0.5266664,-0.48564428,0.3894612,1,HNSC
TCGA-F1-6874-01,0.61154485,0.42676726,2.17885,0.40541047,1.8436836,0.9793636,-2.1098328,-1.6565853,-1.1386865,1.7281482,-0.9369303,-1.6170884,-1.01202,0.118359625,0.20641929,-0.6394103,0.13029595,-0.023009367,1.6154552,-0.654656,-1.6129742,-0.052105702,0.6448239,-0.15563428,1.3953582,1.0416521,-0.565727,0.41748905,-2.2627375,0.9830054,1,STAD
TCGA-CG-5719-01,1.2481983,0.16353348,1.1280969,0.22146508,1.4359583,1.2911705,-1.4510183,-1.3453573,-1.8273749,1.1093254,-0.3649283,-2.254477,-1.5036569,0.12412897,0.34037063,-0.18397382,0.85965437,0.39582685,1.8867667,-0.98008996,-0.65816665,-0.6754405,1.1956933,0.29531354,1.7921153,0.76089275,0.16701165,-0.009447314,-1.8518898,-0.23925065,1,STAD
TCGA-BA-A4IH-01,-0.3664821,-0.027309723,0.23628142,-0.13257289,0.46903238,0.33165786,-0.5195302,-0.21046455,0.24142525,0.20266724,-0.35276154,0.29672667,0.10506167,-0.24116811,0.34964806,-0.14495876,-0.5292703,-0.27349648,-0.045831446,0.44999114,-0.44079834,-0.2573116,-0.2503193,0.060927637,0.017981775,0.5212892,-0.09271589,0.14007922,-0.23860109,0.27686653,1,HNSC
TCGA-CV-6954-01,0.37199903,0.16457742,0.5521047,-0.19272345,-0.362488,-0.05553969,-1.8932226,-0.74473625,-0.8026601,0.6696643,-0.49657884,-0.0085556805,-0.45410392,0.16051862,1.410055,0.26022202,0.24469659,-0.22248752,0.45244363,-0.36145258,-1.8267422,0.49937338,0.18348955,0.1202793,0.30964464,0.2292608,-0.230728,-0.19031279,-0.6769448,1.0559895,1,HNSC
TCGA-CG-4477-01,0.27725866,0.2711372,0.87493205,-0.050297868,1.0368606,0.68129843,-1.1127211,-1.0161493,-0.6067213,0.7273397,-0.49032348,-0.85057974,-0.5101773,-0.22134537,0.45140794,-0.15504526,0.04414447,-0.07064352,1.0756584,-0.37931257,-0.6695154,-0.3345093,0.43675697,0.10618559,1.0282955,0.9515825,-0.12265087,0.007689573,-1.3202668,0.13583894,1,STAD
TCGA-IQ-7632-01,0.4155482,0.273758,0.7088243,-0.30248442,-0.3508969,-5.70938e-05,-2.5612853,-1.1086078,-0.9229282,0.91698235,-0.7933878,0.22805172,-0.52422076,0.1556046,1.9282877,0.43568522,0.03539601,-0.2539109,0.59343743,-0.34502482,-2.419172,0.69592065,0.20513563,0.13298365,0.31937492,0.44958133,-0.55189264,-0.011703238,-0.9403196,1.3091486,1,HNSC
TCGA-CG-5725-01,-0.15153065,0.3529882,1.1272775,-0.021324856,1.0022622,0.39639357,-1.1754332,-0.9635294,-0.09741336,0.8036808,-0.66830426,-0.30298847,-0.11102922,-0.25739592,0.38185963,-0.29831153,-0.35327214,-0.30019328,0.72968936,-0.11904903,-0.95527864,-0.021409698,0.05594047,-0.09471061,0.6423322,0.9795085,-0.41800517,0.1560049,-1.2419157,0.6357732,1,STAD
TCGA-AA-A02Y-01,2.1858325,1.5178212,-0.18981925,-0.41213757,1.7202697,-0.013963984,-2.6670954,-3.8965263,-1.1554611,0.15778191,-0.25576556,-0.88634336,1.3008283,0.33512467,-0.7433582,2.2016485,-2.5806675,-2.2063134,2.7117815,-1.6144139,-2.3707569,1.1311773,0.7941673,2.0587063,2.0566337,1.9546034,-0.7499907,-0.9792505,-1.8359233,1.6034279,1,COAD
TCGA-CM-4747-01,2.1044195,0.61257166,-0.35799453,-0.49830014,1.3073096,0.04064317,-1.4915357,-2.6921515,-0.6789044,0.3737266,0.057901964,-0.7516337,1.2066087,0.29998785,-0.11423455,1.8211684,-1.643557,-1.1547678,1.8301266,-1.3755251,-1.653555,0.687939,0.50755626,1.050273,1.965037,1.5931071,-0.24908115,-1.0357848,-1.8064307,0.923465,1,COAD
