patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-CR-6487-01,0.24261722,0.13465774,0.21175641,0.57294255,0.5039928,0.67095995,0.6413994,0.83361965,0.7529287,0.3092389,0.55252355,0.7067438,0.6368074,0.09328436,0.6105498,0.46065032,0.37901154,0.45263842,0.1059144,0.842515,0.7301931,0.323567,0.093568906,0.26515913,0.17677586,0.43512982,0.51255476,0.7700484,0.8564432,0.43934655,1,HNSC
TCGA-F1-6874-01,0.5533088,0.2888363,0.6585345,0.89185524,0.79209495,0.8061882,0.3421269,0.56245124,0.3130626,0.71795046,0.4883528,0.22612455,0.25975168,0.24231794,0.48573342,0.31023443,0.70212895,0.52924216,0.6392792,0.35301453,0.47912657,0.37793624,0.55292964,0.18607904,0.6859393,0.460101,0.49818265,0.72571814,0.27751887,0.60489094,1,STAD
TCGA-CG-5719-01,0.722427,0.1745823,0.39984807,0.80605376,0.6819885,0.90463483,0.52900624,0.6406009,0.11910379,0.5252973,0.68832505,0.09739506,0.106007636,0.24401325,0.51557547,0.42080745,0.89102995,0.63076985,0.728548,0.24025911,0.79619056,0.17947492,0.8025659,0.35183308,0.8238906,0.37645087,0.81368524,0.5523656,0.41136086,0.26399356,1,STAD
TCGA-BA-A4IH-01,0.29350942,0.091748714,0.18029067,0.6409125,0.42086947,0.6016884,0.7932323,0.9255735,0.70175046,0.24303463,0.69257855,0.61264604,0.609084,0.13667169,0.5176423,0.4302797,0.5313039,0.46852303,0.092671335,0.7357495,0.8683723,0.31260145,0.14727956,0.26568028,0.20702963,0.3050628,0.7018518,0.61307913,0.9369226,0.40794295,1,HNSC
TCGA-CV-6954-01,0.48967677,0.17503542,0.25804368,0.6128552,0.19631681,0.4794387,0.4035706,0.7914174,0.4076994,0.38842112,0.64229995,0.55099005,0.43422246,0.25470626,0.75388265,0.5286514,0.7317583,0.4808878,0.2566172,0.4546028,0.40814036,0.55351967,0.34386775,0.28749606,0.30843994,0.21805513,0.6424265,0.47892725,0.7941232,0.6252469,1,HNSC
TCGA-CG-4477-01,0.4645103,0.22128662,0.33752102,0.67928976,0.57421184,0.71208024,0.6249677,0.72326535,0.46288267,0.40637672,0.6444868,0.38093162,0.41668728,0.14249656,0.54031265,0.42783085,0.67981607,0.5176954,0.46167156,0.44841474,0.79242194,0.28802276,0.4586404,0.28231567,0.5583127,0.43326545,0.68896234,0.55932385,0.5845479,0.3686092,1,STAD
TCGA-IQ-7632-01,0.501245,0.22242415,0.29662672,0.56165713,0.199447,0.49695617,0.21406782,0.7000489,0.3738277,0.46541667,0.53853536,0.5987762,0.41229564,0.25326228,0.8693359,0.57125115,0.67755026,0.47327065,0.30300793,0.46029466,0.21141154,0.6160976,0.35367706,0.2921658,0.31182313,0.28369796,0.5041395,0.5514496,0.7083235,0.695855,1,HNSC
TCGA-CG-5725-01,0.35060832,0.25681323,0.39964634,0.6928042,0.56486857,0.62212735,0.6071788,0.73647827,0.60632163,0.43014336,0.5822646,0.49152526,0.5415084,0.1319032,0.5248185,0.393048,0.5768867,0.4620516,0.3478385,0.5385901,0.69752824,0.3877094,0.28606662,0.20847264,0.4241144,0.44158578,0.56178874,0.6195456,0.6100724,0.508045,1,STAD
TCGA-AA-A02Y-01,0.9714966,0.76239735,0.07538831,0.5105093,0.75876695,0.49256536,0.18405372,0.0,0.3083383,0.22906083,0.7264884,0.37370867,0.9830227,0.30601376,0.2741394,1.0,0.0,0.0,1.0,0.020480394,0.22748882,0.7546774,0.62060726,0.99999994,0.91586286,0.732108,0.41884243,0.15858823,0.41656226,0.777932,1,COAD
TCGA-CM-4747-01,0.94987035,0.36948285,0.03398498,0.47031873,0.64724684,0.50980645,0.51751316,0.30241966,0.44255334,0.29628918,0.8361468,0.40091515,0.9535584,0.29568893,0.41429728,0.9076253,0.242708,0.2548991,0.7099119,0.10324988,0.4656508,0.6135564,0.49072435,0.62933207,0.88401496,0.6244029,0.63452405,0.13563311,0.4261701,0.5882847,1,COAD
TCGA-NH-A50T-01,0.939592,0.56786764,0.082938924,0.46390602,0.67111397,0.505601,0.36913037,0.15389884,0.3788996,0.2333033,0.7868558,0.40071958,0.9805801,0.2929176,0.3339207,0.9457159,0.13675076,0.14861941,0.8261983,0.039795816,0.3620909,0.67142224,0.5568273,0.8356845,0.8910217,0.6400926,0.53628176,0.14788204,0.47531796,0.652702,1,COAD
TCGA-CN-4735-01,0.30683294,0.08477618,0.17546338,0.6537371,0.40075022,0.5860336,0.8162776,0.9412752,0.6866938,0.23256598,0.7191333,0.5931696,0.600661,0.14718735,0.5035031,0.42602006,0.5645503,0.47184435,0.09288804,0.7100325,0.8875357,0.31458288,0.16116199,0.2661561,0.2146895,0.27811092,0.7378892,0.5800532,0.95023,0.40551892,1,HNSC
TCGA-CV-6956-01,0.59817415,0.18431954,0.27160946,0.6402364,0.05794324,0.39041346,0.3322454,0.7894822,0.259378,0.4095865,0.70177287,0.4723631,0.34756637,0.327267,0.7966372,0.5511958,0.8998007,0.49495357,0.31549564,0.27981988,0.30043733,0.64488447,0.4541425,0.2966326,0.3667774,0.10865012,0.72626615,0.33508328,0.78214425,0.69539183,1,HNSC
TCGA-A6-5659-01,0.95893407,0.3074431,0.013913028,0.45921665,0.6544206,0.5088595,0.5515366,0.33208036,0.4531219,0.31961071,0.84212106,0.39612854,0.9504253,0.29972932,0.44024292,0.89618826,0.26786163,0.27829215,0.69149727,0.1181902,0.49538606,0.600484,0.47474173,0.5771079,0.88927263,0.6321659,0.6457606,0.12672618,0.39800733,0.5691945,1,COAD
TCGA-CN-5373-01,0.566116,0.15762182,0.24842846,0.6600854,0.08959609,0.4027738,0.4472293,0.8371186,0.31252566,0.364747,0.7410448,0.46659648,0.37972116,0.31056687,0.7267523,0.5237824,0.8873848,0.49550432,0.27738932,0.318904,0.4278981,0.5906105,0.4225651,0.29202506,0.3510048,0.10106447,0.7775027,0.33222604,0.82932043,0.64207387,1,HNSC
TCGA-BA-4078-01,0.2984665,0.14542286,0.22353053,0.5800551,0.43507195,0.62861866,0.58121717,0.8208623,0.67425025,0.3297762,0.5689322,0.67351705,0.5905641,0.12945074,0.6468648,0.47744098,0.45620662,0.45870262,0.14139733,0.75568366,0.65085346,0.37741387,0.15008168,0.27033895,0.2064392,0.38878715,0.5367171,0.70733947,0.83937246,0.48359835,1,HNSC
TCGA-BR-4280-01,0.510629,0.38785836,0.9042042,0.9781452,0.959772,0.82401395,0.11596894,0.43108267,0.34104335,0.93875754,0.31836563,0.21929434,0.2634222,0.2519296,0.47519803,0.21965583,0.61346596,0.48225927,0.71071976,0.3566996,0.20786452,0.4779347,0.50177497,0.0859371,0.72723615,0.5691691,0.28201926,0.85812104,0.049567997,0.8319077,1,STAD
TCGA-BR-6707-01,0.60053176,0.3204242,0.7672128,0.9456297,0.8908467,0.8674496,0.22473633,0.48342085,0.23857859,0.8336362,0.43003437,0.15244609,0.18334341,0.26296243,0.48244417,0.2759269,0.7174682,0.5378642,0.7437086,0.30033422,0.3764856,0.38188443,0.62533665,0.16899003,0.781886,0.50406647,0.4478795,0.7707462,0.13588262,0.6590998,1,STAD
TCGA-L5-A43I-01,0.6634674,0.6464402,0.29075056,0.73798,0.3398408,0.073314965,0.98739326,0.7720401,0.3059962,0.33341032,0.9763072,0.4608799,0.47409734,0.51664144,0.0658696,0.32388106,0.7130585,0.37402305,0.5003964,0.35865584,0.73138016,0.22277896,0.8606397,0.43180746,0.04268016,0.021593511,0.63665676,0.077294976,0.89544487,0.56033516,1,ESCA
