,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tumor,project
TCGA-F1-6874-01,2.1532073,-1.1852447,2.4522097,-1.6685536,-1.8822988,-1.715575,-1.7967538,1.977029,1.724147,-1.5159181,-2.0607398,2.041236,-2.2101114,1.2497392,1.6557047,-2.146404,-1.8180813,2.3437104,1.5194172,-2.1115296,-1.2811614,-1.9139215,1.2820983,-1.2473589,-2.0222232,1.14522,-1.9738803,-1.2053083,0.7535462,1.5522915,-1.3496536,-1.4078134,1.9262407,1.5397718,-2.137556,1.2752364,1.9116334,0.8708519,-1.5611223,1.1643629,-1.8647081,1.8748183,-2.2358477,-1.5508631,1.2670714,-1.1665984,1.6307048,-0.51706934,-1.8169874,1.5620122,1,STAD
TCGA-CG-5719-01,1.8817137,-0.99406445,2.1691248,-1.481184,-1.6307175,-1.5090622,-1.545315,1.7410493,1.493994,-1.3440602,-1.7959561,1.7838013,-1.932253,1.1021321,1.4332572,-1.9535592,-1.5810969,2.0501955,1.2806935,-1.8424596,-1.147131,-1.6491337,1.0949143,-1.0505868,-1.760624,0.9262963,-1.7106128,-1.0086063,0.7747853,1.3519962,-1.1869686,-1.2291447,1.7245053,1.3547101,-1.8800956,1.1218787,1.6758244,0.7488643,-1.3495015,1.0418669,-1.5932932,1.7168672,-1.9875783,-1.3975518,1.0668081,-1.0092419,1.3973926,-0.3345714,-1.6169022,1.379954,1,STAD
TCGA-CG-4477-01,1.9985893,-1.0575399,2.3249161,-1.6035635,-1.7442312,-1.636684,-1.6588862,1.8673848,1.573171,-1.4634693,-1.9319543,1.8847892,-2.0655196,1.1868019,1.5264035,-2.08633,-1.7145228,2.204257,1.3811815,-1.9433792,-1.2280378,-1.7475909,1.1627145,-1.1200633,-1.8600689,1.0042951,-1.8361224,-1.0734224,0.82277673,1.4157555,-1.2554355,-1.293717,1.8539456,1.4562172,-1.9952141,1.2082797,1.7714491,0.8278384,-1.4211282,1.1380641,-1.6941001,1.8389641,-2.1205108,-1.5108067,1.1266963,-1.0850171,1.4900904,-0.37148294,-1.7327895,1.4973551,1,STAD
TCGA-CG-5725-01,1.847925,-0.9271883,2.1757271,-1.506438,-1.5993884,-1.5226208,-1.50831,1.7454066,1.4248117,-1.379611,-1.7800599,1.7382928,-1.9081569,1.112691,1.3944479,-2.0071673,-1.5844096,2.0474672,1.2280656,-1.7871755,-1.1636809,-1.586283,1.0412198,-0.98819137,-1.7106502,0.8531137,-1.6851707,-0.93826807,0.87785745,1.2919917,-1.1565223,-1.1841865,1.7595426,1.3579721,-1.8558877,1.1238308,1.6276472,0.7516917,-1.2907948,1.0821061,-1.5225585,1.7817695,-1.9979122,-1.4370159,0.99082917,-0.98750144,1.3461974,-0.22286674,-1.6356586,1.4016721,1,STAD
TCGA-BR-4280-01,2.788299,-1.6675427,3.071971,-2.0712729,-2.467476,-2.1871052,-2.3925164,2.505133,2.3091538,-1.8683581,-2.681596,2.6607394,-2.8780496,1.551877,2.19326,-2.5257072,-2.3552363,2.9972045,2.1089773,-2.7525048,-1.5491136,-2.5873208,1.776342,-1.7553846,-2.6449056,1.7184683,-2.5816493,-1.7173841,0.6456369,2.066549,-1.7507594,-1.8709253,2.3373816,1.9713782,-2.7336996,1.612027,2.5064971,1.1204321,-2.093957,1.3940989,-2.5406077,2.185749,-2.7642667,-1.8704282,1.7810222,-1.556433,2.2213914,-1.0212692,-2.2365456,1.9770986,1,STAD
TCGA-BR-6707-01,2.7081413,-1.6606244,2.9926958,-2.0155573,-2.4188397,-2.1289132,-2.349482,2.4281852,2.2610786,-1.8235793,-2.6200411,2.6008358,-2.807641,1.5038413,2.152849,-2.4357698,-2.3013823,2.9094036,2.0942523,-2.695071,-1.4935403,-2.534719,1.7524899,-1.728558,-2.5846152,1.7181782,-2.5343125,-1.7373917,0.56781375,2.0265026,-1.7181875,-1.8430384,2.2517178,1.9181327,-2.661599,1.575455,2.4532557,1.1077743,-2.0407197,1.3545613,-2.5011458,2.0873888,-2.6785464,-1.8021815,1.766854,-1.5258794,2.1796985,-1.047255,-2.1683717,1.9217203,1,STAD
TCGA-CG-4466-01,2.8844438,-1.7795806,3.16424,-2.1369925,-2.574413,-2.2546368,-2.5013232,2.579193,2.3981931,-1.9345126,-2.7799945,2.7594373,-2.976537,1.6006918,2.2847507,-2.5663857,-2.447672,3.1007183,2.2330527,-2.8559206,-1.5814705,-2.7012,1.8616384,-1.8466821,-2.7501094,1.8457509,-2.6905663,-1.8467284,0.5802082,2.1512785,-1.8217633,-1.9577434,2.3850603,2.0390456,-2.8253777,1.6678841,2.6033814,1.1760794,-2.1745515,1.4341446,-2.66706,2.2027142,-2.8365235,-1.903284,1.8915766,-1.6251172,2.3203545,-1.140092,-2.302161,2.0376678,1,STAD
TCGA-CG-4444-01,2.3876638,-1.4197108,2.6687274,-1.8000982,-2.1237652,-1.8826358,-2.0345867,2.1534896,1.984867,-1.6308957,-2.2926598,2.2995374,-2.4731305,1.3284875,1.8801752,-2.2278736,-2.012513,2.580212,1.7919918,-2.3687685,-1.362835,-2.2064147,1.5139652,-1.4831232,-2.28304,1.4211202,-2.217287,-1.4710244,0.6301072,1.7809176,-1.52574,-1.6297332,2.0457842,1.6997932,-2.3627605,1.3903725,2.1681046,0.9694325,-1.7924818,1.2286053,-2.1639376,1.9283167,-2.4023783,-1.6374013,1.5205263,-1.3414522,1.8787897,-0.7818115,-1.9455177,1.7120593,1,STAD
TCGA-CG-4442-01,1.2388066,-0.43196204,1.5913918,-1.1288066,-1.0311264,-1.0974407,-0.9304403,1.2569373,0.86159647,-1.0454516,-1.1948394,1.1403804,-1.2841758,0.8251952,0.8790622,-1.6657641,-1.0793545,1.4286699,0.6423459,-1.159021,-0.9177861,-0.9344511,0.5612713,-0.4937816,-1.1052622,0.27759433,-1.096947,-0.40710786,1.0287286,0.78874534,-0.7639611,-0.72809565,1.3845662,0.9588264,-1.2862782,0.808694,1.0507303,0.5073917,-0.77519226,0.8690002,-0.85570526,1.5215218,-1.5004593,-1.1574073,0.46894914,-0.6188041,0.77894557,0.2989864,-1.2411532,1.0265727,1,STAD
TCGA-CG-4436-01,2.5769842,-1.5064712,2.865625,-1.9382052,-2.2722116,-2.031481,-2.193625,2.3299658,2.1145668,-1.7513083,-2.475334,2.4535778,-2.6558092,1.4513341,2.0144527,-2.4005678,-2.1767194,2.779997,1.9118146,-2.5386772,-1.4603549,-2.3630948,1.6116947,-1.5862197,-2.4365015,1.5268055,-2.3788712,-1.5445457,0.68378043,1.8945775,-1.6176142,-1.7166448,2.2011044,1.828155,-2.5352004,1.5002484,2.3093143,1.0368886,-1.9161743,1.3176078,-2.3147259,2.0840876,-2.5882118,-1.7657508,1.6095144,-1.4280131,2.0250695,-0.85155433,-2.0966978,1.8397794,1,STAD
