,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tumor,project
TCGA-F1-6874-01,0.6511767,0.36833417,0.6562947,0.33376044,0.35831285,0.3445682,0.35386163,0.6567393,0.63011754,0.33074015,0.34816593,0.6382303,0.3603542,0.6767575,0.6379998,0.31540263,0.34829807,0.65633655,0.63111633,0.3550728,0.33997774,0.36895156,0.62937605,0.37092578,0.3603084,0.62563777,0.35454744,0.3771549,0.490691,0.6296302,0.35907024,0.3743751,0.67088205,0.64622873,0.35251272,0.6589351,0.6409688,0.6688263,0.35948867,0.68329203,0.36991793,0.6949684,0.3368883,0.3140576,0.6269432,0.36472893,0.6331351,0.36496678,0.3364855,0.6519068,1,STAD
TCGA-CG-5719-01,0.55224264,0.4644588,0.5566929,0.43221897,0.45667654,0.44381964,0.45215344,0.5567358,0.5327452,0.42929316,0.44729054,0.53939635,0.45830333,0.57658154,0.53951734,0.41600752,0.44662523,0.556995,0.5343026,0.45463622,0.44002563,0.46507496,0.53215575,0.46744043,0.4595477,0.5300225,0.453808,0.47196862,0.52369386,0.53229916,0.45610273,0.46968794,0.570542,0.5491525,0.45148963,0.5591949,0.54412115,0.5672411,0.45794934,0.58240116,0.46676838,0.594178,0.43755072,0.4143259,0.53044623,0.4612803,0.5360762,0.4578789,0.43619597,0.5540757,1,STAD
TCGA-CG-4477-01,0.59483284,0.43254358,0.6115072,0.36791128,0.41229475,0.38248378,0.40775645,0.6102743,0.5662431,0.3608173,0.39637816,0.5781675,0.41132492,0.6340441,0.58075523,0.34674263,0.39126545,0.60913783,0.5750552,0.41729313,0.37963217,0.42933297,0.56737006,0.4333629,0.42182267,0.56408864,0.40648675,0.44072616,0.5982664,0.5632822,0.41526604,0.4352411,0.6349236,0.6023992,0.407234,0.6153881,0.5833946,0.6330068,0.4246236,0.6616317,0.43079692,0.6720894,0.3836524,0.3402552,0.5593034,0.41478592,0.57463884,0.43908674,0.37844467,0.6171626,1,STAD
TCGA-CG-5725-01,0.53992975,0.49808386,0.55901587,0.4189486,0.46892565,0.4373033,0.46661937,0.55858237,0.5034758,0.40890628,0.45324147,0.5219248,0.4667976,0.5837475,0.5223356,0.38804078,0.44525075,0.55607164,0.5129595,0.47509283,0.42767185,0.48789108,0.5042677,0.49804473,0.4785056,0.49805993,0.46340054,0.50587285,0.68385476,0.5031407,0.47426218,0.49367142,0.58796895,0.5508637,0.46079606,0.5604645,0.52433455,0.5695956,0.4852637,0.61554325,0.49200904,0.6355929,0.43336076,0.38851565,0.49383578,0.47461993,0.5147787,0.51474917,0.4268489,0.5657462,1,STAD
TCGA-BR-4280-01,0.88260853,0.12583673,0.87435424,0.12214041,0.12951946,0.1179477,0.12096757,0.8805393,0.8776202,0.12863135,0.11574161,0.8760693,0.12489605,0.88180834,0.8759873,0.11752474,0.12542719,0.8775147,0.870211,0.11789405,0.13996315,0.12449378,0.88607824,0.12174451,0.12408996,0.8760048,0.1253984,0.13032568,0.32301384,0.87952733,0.11983335,0.12732291,0.8753771,0.8726327,0.12333405,0.8779758,0.8852817,0.8766644,0.111577034,0.87250876,0.12873298,0.8933769,0.12263751,0.105056405,0.8745905,0.1255328,0.8788636,0.108272016,0.1274029,0.87495834,1,STAD
TCGA-BR-6707-01,0.85339844,0.1293152,0.8464618,0.15141773,0.14853531,0.14591515,0.13779044,0.8479303,0.85728073,0.15430999,0.1387853,0.8530712,0.14971614,0.84920806,0.8580965,0.16444409,0.14777172,0.84779805,0.86423934,0.13914621,0.1814462,0.14358932,0.87368983,0.13490272,0.14696151,0.8758781,0.14324594,0.12068164,0.20208669,0.86006725,0.13926065,0.14219946,0.83276933,0.8447022,0.15105212,0.8541901,0.86341524,0.8661235,0.1363467,0.8399446,0.14281434,0.830612,0.15739334,0.14969099,0.8677636,0.14428002,0.8615191,0.09504229,0.16137671,0.8452001,1,STAD
TCGA-CG-4466-01,0.91764426,0.0695045,0.9068186,0.08760631,0.08770895,0.08549154,0.0784331,0.9119245,0.9152907,0.090694666,0.07890499,0.9139613,0.090177774,0.9149373,0.9164923,0.096303225,0.08707476,0.9125494,0.9205295,0.079627395,0.115810156,0.08315325,0.9303798,0.07696408,0.084180236,0.9315957,0.08433306,0.067979455,0.22134602,0.92070055,0.077483416,0.08100879,0.8990918,0.90812844,0.088089705,0.9143039,0.92507243,0.9230047,0.07407892,0.9054915,0.083610356,0.9042025,0.093340516,0.083568215,0.9278612,0.08338928,0.9200326,0.047777772,0.09470415,0.9075059,1,STAD
TCGA-CG-4444-01,0.7366143,0.2504456,0.7324753,0.2646367,0.26390398,0.2642777,0.26088858,0.7315198,0.74042207,0.26480556,0.26134413,0.73739713,0.26763606,0.73020136,0.73737776,0.27290106,0.26762646,0.73638165,0.74165833,0.25988728,0.27901196,0.26277053,0.749804,0.25528586,0.26136595,0.7461376,0.262775,0.24907523,0.29888272,0.74072826,0.25404465,0.25598955,0.73034114,0.7301698,0.26593614,0.7338169,0.7463026,0.75091934,0.25184417,0.7362038,0.26314223,0.72910637,0.2693674,0.25746012,0.74907047,0.25744146,0.73633957,0.2301831,0.27243376,0.7325364,1,STAD
TCGA-CG-4442-01,0.31796288,0.7470816,0.35342073,0.61738545,0.6911056,0.64164764,0.6925187,0.35157877,0.26519257,0.600532,0.6723252,0.29237503,0.6867602,0.38863373,0.294163,0.56614673,0.65480304,0.3466367,0.2754223,0.7075275,0.61122155,0.7245195,0.25499022,0.74054754,0.7081634,0.24670103,0.68518037,0.76190114,0.9182891,0.25859427,0.7084028,0.7369782,0.40146154,0.3414873,0.67977405,0.35550702,0.28739256,0.3661546,0.72515774,0.44002357,0.7299659,0.4695258,0.6350562,0.5713846,0.24236774,0.7008466,0.2787993,0.7804315,0.6234467,0.3641821,1,STAD
TCGA-CG-4436-01,0.8056039,0.20682281,0.80175257,0.19206452,0.20586419,0.19274169,0.19871771,0.80630696,0.79529506,0.19575429,0.19295806,0.7965361,0.20323908,0.81357324,0.79682535,0.18280852,0.19949561,0.80399984,0.79025215,0.1970163,0.20621765,0.20589238,0.8005631,0.20471811,0.20314938,0.7922958,0.20185244,0.21363676,0.382284,0.7959599,0.19924688,0.2096256,0.80759495,0.7975034,0.19964415,0.80527765,0.8042979,0.80709344,0.19429386,0.80950856,0.20933563,0.8285056,0.19402003,0.17351735,0.7919494,0.2043292,0.7971927,0.1946761,0.19709468,0.80116826,1,STAD
