,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-B7-5816-01,1.5809648054736445,0.0,0.0,0.0,0.0,0.0,0.0,0.0007687735164610874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030815837141674865,0.0,0.15846103991500304,0.0,0.0,0.0,0.0,0.010400249476260726,0.0,0.00875849912470488,0.0,0.0,4.446465868523153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040726511788603245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020385112744190225,0.0,0.05336842743907351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028430983038444813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043966631263194525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013567331098099126,1,STAD
TCGA-B7-5818-01,0.0941535554970881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015996591591940515,0.0,0.0,0.0,0.0,4.340026713076157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014669829065179518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4187-01,1.114856085160599,0.4882918241365209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14703814896173545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299221935125526,0.0,0.11768105189092003,0.0,0.0,0.0,0.24022965806978383,0.0,0.05539819609687698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476164233424807,0.0,0.09742117310913369,0.574386890161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196348656117191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12572875091053534,0.5091615455880051,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4191-01,0.540097316503734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033470739860821897,0.0,0.0,0.010686590831985377,0.6930049487193072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991045136909835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653529263468575,0.0,0.0,0.0,0.0,0.0,0.04842526457761309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23537811328467093,0.0,0.0,0.6545737623904128,0.0,0.0,0.0,0.0716864123124041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284464357548879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4201-01,1.0857040435954863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11183502270576033,0.0,0.0,0.03744272800299113,12.388797477867563,0.0,0.0,0.0,0.0,0.0,0.0,0.07714713559336266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5661162632640775,0.15568471254966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291499206791732,0.0,0.0,0.0,0.02154130930483336,0.0,0.0,0.0,0.0,0.0,0.0,1.3636651498614167,0.0,0.0,0.0,0.0,0.0,0.3040525205831307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4253-01,0.45590135146604926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.108767516597977,0.0,0.0,0.21186181718764954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845965992898763,0.0,0.0,0.0,0.0,0.0,0.5629185747704979,0.0,0.0,0.0,0.06681019201170277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3425923319107074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4256-01,1.3411186533715815,0.0,0.0,0.0,0.0,0.0,0.0,0.03969932374011755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11995839161810311,0.0,0.0,0.0,0.0951045952926404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05310020529604527,0.0,0.05331729358572247,0.0,0.0,0.05208863858066837,0.0,0.0,0.0,0.0,0.0,0.14935003299824326,0.0,0.0,0.0,0.0,13.938932615954688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001027763946898709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2942764080445103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4257-01,1.423086090646889,0.0,0.0869389401112774,0.0,0.0,0.0,0.0,0.0,0.0,0.10795653985627092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3881082688632065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00943970450734862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008062850703731249,0.0,0.0006493184136122426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023186841664490756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03530850287026293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07989154680088129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4267-01,0.9339910403248879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17634192550846794,0.0,0.0,0.0,0.0,0.07397697338480794,0.027876518677371398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028637302393895413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10223703614361244,0.0,0.0,0.0,0.0,0.0,0.01227766735504747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9744901635551615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013693584800792394,0.0009347888794877196,1,STAD
TCGA-BR-4279-01,1.0587951469710504,0.0,0.0,0.0,0.0,0.008617943174261719,0.0,0.0,0.06946219382341473,0.0,0.0,0.0,0.0,0.0,0.0,0.10559394188232815,0.0,0.0,0.0,0.0,0.07194064694556525,0.0,0.008853286196072029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044470819042518255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073791117679994,0.0,0.060275788353768525,0.04700710683800985,0.0,0.027832731532446628,0.004320440694764456,0.04320451173800653,0.0,0.0,0.0,0.05000106144389718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1300386485992493,0.0,0.0,0.0,0.0,0.006919641866314169,0.0,0.0,0.0,0.0,0.0,0.0,0.0769419482823795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024357218486514058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
