,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-B7-5816-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000331457245182243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023250273242311117,0.0,0.017396540160483368,0.0,0.0,0.0,0.0,0.0024097963968620325,0.0,0.005601386912077339,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020616842526693293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019779473669163847,0.0,0.005476275756860669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01527994009888771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014605555273938716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003585759578294548,1,STAD
TCGA-B7-5818-01,0.059554491770536566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012069285145438667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048732639530214584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4187-01,0.7051745119820028,0.20060998454947143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06136299493697408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016179698073601,0.0,0.01291953622446526,0.0,0.0,0.0,0.15427506015398024,0.0,0.029673028972185152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776437480292111,0.0,0.02883617010526597,0.1835079226317451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23367841768976805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01341682248553848,0.16766067523925937,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4191-01,0.34162513588778165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020461611839925563,0.0,0.0,0.0017290771709874164,0.2055572080059036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09870759266307294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.022240982782506608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01688638002419597,0.0,0.0,0.20912641531865644,0.0,0.0,0.0,0.022465933577124533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09169680575962089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4201-01,0.6867351125316278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718202531439354,0.0,0.0,0.023946021299110783,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06856504584520355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21927037839302105,0.03839020388176801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009540903871312987,0.0,0.0,0.0,0.02090131977885173,0.0,0.0,0.0,0.0,0.0,0.0,0.0951375976202186,0.0,0.0,0.0,0.0,0.0,0.042225386401095924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4253-01,0.2883690705116392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.048815786444200135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04640467255924608,0.0,0.0,0.0,0.0,0.0,0.061585591118678396,0.0,0.0,0.0,0.012807053723276474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023901330487477505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4256-01,0.8482912767750026,0.0,0.0,0.0,0.0,0.0,0.0,0.01711639149989297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027795035162810608,0.0,0.0,0.0,0.013139422278739179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024388111495892238,0.0,0.010220558013251077,0.0,0.0,0.01917371863040273,0.0,0.0,0.0,0.0,0.0,0.0601412068390789,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005205211785143422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054356432864069895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4257-01,0.9001377422949929,0.0,0.03147974418154233,0.0,0.0,0.0,0.0,0.0,0.0,0.051290779086936744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006062161485006842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015455929554484128,0.0,0.0001874757109904332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032463666106854425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01457192365527264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025531584353898587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4267-01,0.5907728224507006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13304840408188615,0.0,0.0,0.0,0.0,0.017045280657356596,0.017902250831101536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031330378406707073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02559948152039974,0.0,0.0,0.0,0.0,0.0,0.021182620045166505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038838995429025195,0.0024705877331879563,1,STAD
TCGA-BR-4279-01,0.6697145586702948,0.0,0.0,0.0,0.0,0.009347690302420811,0.0,0.0,0.04246420764746985,0.0,0.0,0.0,0.0,0.0,0.0,0.0803164170196635,0.0,0.0,0.0,0.0,0.06297243487068693,0.0,0.006679725175230733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006143981462547269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09524605171524148,0.0,0.011554453540925864,0.0023796246640152875,0.0,0.01024517011117901,0.0012460425710455727,0.007015013739772567,0.0,0.0,0.0,0.020134740636490418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0028557566818467454,0.0,0.0,0.0,0.0,0.0,0.0,0.038968007895183406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017373399896285404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
