patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-F1-6874-01,1.1908279447257943,0.0,0.0,0.0,0.0,0.0,0.0,0.000640563272647316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001293712643891524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.264610122982399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011178602888066727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12854090154963838,0.0,0.04124461768627132,6.348958736227443,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-5719-01,1.205449667391653,0.0,0.0,0.0,0.0,0.04556859993333573,0.0,0.2690614373955042,0.0,0.028346956356413707,0.0,0.0,0.0,0.0,0.02573596933896873,0.0,0.0,0.0,0.054292652737750344,0.0,0.0,0.0,0.45155231746886654,0.5152729815964769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08549889895909751,0.0,0.0,0.0,0.0,0.30170263794093954,0.10315228785143739,0.0,0.13305279492587588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4458472064018437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494322725482476,0.0,0.0,0.0,0.0,0.14319985474785282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4477-01,0.961276635515353,0.0,0.0,0.0,0.0,0.21132565561383118,0.0,0.01912044570093331,0.0,0.0010804642288365124,0.0,0.0,0.0009457074477997589,0.0,0.0,0.0004915634807187028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005405563774172305,0.0,0.0,0.000760328897080377,0.0,0.0,0.0,0.0007428125329060165,0.0019562980593828376,0.0,0.0,0.0,0.0,0.0,0.00045787228160498093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.672168978508569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013582869361214622,0.0,0.8436578436689446,0.0,0.0,0.0032587826344820867,0.0,0.0,1.7150599484781501,0.6670554773959726,0.0,0.0010885897010640504,0.0,0.0,0.001653531895432671,0.009070705788675235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-5725-01,0.17779827108972432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01489918892420716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2309149663320282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4280-01,0.9759589869101797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06379529389054733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442709093575534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09739824701764974,0.0,0.0,0.0,0.0,0.06500626657388514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183830585796131,0.0,0.0,0.09514219295909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032084801004005877,0.0,0.0,0.0,0.0,9.82681810716257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483315959116222,0.0,0.0,0.0,1,STAD
TCGA-BR-6707-01,1.1493527525728164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004899772951201486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7977995522056658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18616291897471424,0.0,0.0,0.0,0.0,0.0,0.0,0.0012797765991511179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193787080962173,1,STAD
TCGA-CG-4466-01,0.7231851332050373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006966919657266208,0.0,0.0059967787523432245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020763583307321018,0.0,0.0,0.015614454039521214,0.006032832216442083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014494022989843841,2.6001261004620922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3290698354646735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4444-01,0.9362895798434022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011756688302374193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019599089413914928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023746997611119328,0.0,0.0,0.0,0.0,0.0,0.0,0.42196658312829566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012978051829254503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013724669537052555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03788747440275431,0.0,0.0,0.0,0.0,0.0,0.22665721571591718,0.0,0.0,0.0,0.0,0.0,0.0,9.851977272490076,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4442-01,0.7228137166019117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0937184613641078,0.23179481573098776,0.0,0.0,0.0,0.0,0.04111981895584041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09490492858093932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796657004626787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4436-01,0.9653678665236444,0.0,0.0,0.0,0.0,0.0,0.0,0.0010633482365120309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008543580235006246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005001910095814791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006356534847714578,0.0,0.0,0.0,0.0,0.0,0.0027717921183164347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028994819188983507,0.0,0.0,0.0,0.0,0.0,0.0,4.20402305539092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
