patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,tumor,project
TCGA-F1-6874-01,0.7315181184950579,0.0,0.0,0.0,0.0,0.0,0.0,0.00022823433982303927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.196089476740091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.958533475715256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.961006704719261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03719503174490444,0.0,0.004076808590335808,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-5719-01,0.7405001507870095,0.0,0.0,0.0,0.0,0.018712025279599528,0.0,0.0958672814349938,0.0,0.012023841098224566,0.0,0.0,0.0,0.0,0.015735738379465826,0.0,0.0,0.0,0.031932294048377816,0.0,0.0,0.0,0.14751066234322013,0.09759019713921373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006579289370583303,0.0,0.0,0.0,0.0,0.01816616219754749,0.03199133990947904,0.0,0.027156446647124292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09477841574703667,0.0,0.0,0.0,0.0,0.03583764162458101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4477-01,0.5905061926703196,0.0,0.0,0.0,0.0,0.08677754014516387,0.0,0.006812663928794278,0.0,0.00045829718141526636,0.0,0.0,0.00029768711202730636,0.0,0.0,0.0001938356661260396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006043803246743361,0.0,0.0,0.00011451932511075141,0.0,0.0,0.0,0.00023848882329078087,0.00038623656644647553,0.0,0.0,0.0,0.0,0.0,0.0002021243317067124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765271871799512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004812930305139558,0.0,0.06342711422485357,0.0,0.0,0.0039016157665187476,0.0,0.0,1.0,0.09735035358637276,0.0,0.0003204711420575156,0.0,0.0,0.0004138180418386127,0.0009230562415787243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-5725-01,0.10922035993132342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004783562308271899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-BR-4280-01,0.5995254688092415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020081301932636783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024625053056242432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04299573566419092,0.0,0.0,0.0,0.0,0.029275300068496924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024566497190226234,0.0,0.0,0.014474190395320214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008445559884289097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004825973385697383,0.0,0.0,0.0,1,STAD
TCGA-BR-6707-01,0.7060401687523236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002078321589164043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22573358500311383,0.0,0.0,0.0,0.0,0.0,0.0,7.705809082569575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003092370513222996,1,STAD
TCGA-CG-4466-01,0.4442480799252339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004259782236820607,0.0,0.0018656736758155287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037265337185829785,0.0,0.0,0.0036758317822791816,0.00674513380287952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002861589340511655,3.8950374982856694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4444-01,0.5751568014901474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9867982372336414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001152722983105269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02879464360217966,0.0,0.0,0.0,0.0,0.0,0.0,0.025407511990512006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006150379888408836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004863175532816804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005529313759631004,0.0,0.0,0.0,0.0,0.0,0.02306516852598618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4442-01,0.4440199210414089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0757214734006102,0.0,0.0,0.0,0.0,0.00968010389712472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02087570731697763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231599493753089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
TCGA-CG-4436-01,0.5930194101529703,0.0,0.0,0.0,0.0,0.0,0.0,0.00037887370869596997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033689454788879583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005592489838237587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827405814083424e-05,0.0,0.0,0.0,0.0,0.0,0.0009722361714342784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034714387666754407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,STAD
